,displayName,description,abbreviation,value,perGameValue,rank
10,Total Touchdowns,The number of touchdowns scored in total.,TD,39.0,2.0,17
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1.0,,18
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,1.0,,14
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,1.0,,14
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,288.0,16.0,28
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,166.0,9.0,25
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,24.0,1.0,23
3,First Downs Per Game,The average number of first downs per game.,FD/G,16.941,16.0,28
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,98.0,5.0,23
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,13.0,,28
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,38.462,17.64699935913086,29
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,5.0,,30
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,9.0,,14
9,Possession Time Seconds,The total time of possession in seconds.,POSS,29760.0,1750.0,27
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,58.41,,29
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,37.78,,3
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,80.0,43.0,21
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,42.22,,32
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,215.0,12.0,18
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,34.884,34.51599884033203,27
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,75.0,4.0,27
17,Total Giveaways,The total number of giveaways.,TGV,23.0,,8
18,Total Penalties,The total number of total penalties.,TPEN,104.0,6.0,8
19,Total Penalty Yards,The total number of penalty yards.,TPY,841.0,49.0,11
20,Total Takeaways,The total number of takeaways.,TT,30.0,,2
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,7.0,,4
