,displayName,description,abbreviation,value,perGameValue,rank
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,2.0,,3
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,352.0,20.0,14
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,167.0,9.0,28
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,22.0,1.0,32
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.706,20.0,14
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,163.0,9.0,1
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,24.0,1.0,14
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,45.833,28.922000885009766,25
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,11.0,,21
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,6.0,,25
9,Possession Time Seconds,The total time of possession in seconds.,POSS,30521.0,1795.0,22
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,73.54,,5
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,26.23,,17
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,88.52,65.0,4
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,62.3,,5
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,221.0,13.0,13
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,45.701,44.80799865722656,4
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,101.0,5.0,5
17,Total Giveaways,The total number of giveaways.,TGV,16.0,,28
18,Total Penalties,The total number of total penalties.,TPEN,107.0,6.0,10
19,Total Penalty Yards,The total number of penalty yards.,TPY,842.0,49.0,19
20,Total Takeaways,The total number of takeaways.,TT,16.0,,26
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,0.0,,16
