,displayName,description,abbreviation,value,perGameValue,rank
2,Fumble Recoveries,The number of fumble recoveries.,FR,9.0,,17
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,59.0,,9
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,31.0,1.0,14
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,686.0,40.0,15
11,Long Kick Return,The longest kick return in yards.,LNG,44.0,21.0,22
12,Long Punt Return,The longest punt return in yards.,LNG,28.0,11.0,12
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,8.0,,20
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,36.0,,16
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,11.0,,30
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,31.429,,31
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,35.0,2.0,8
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4
27,Punt Return Yards,The total yardage of punt returns.,YDS,289.0,17.0,15
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,22.129,18.812000274658203,17
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,8.257,7.9039998054504395,21
33,Yards Per Return,The average number of yards per return.,YDS/R,14.773,,24
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,9.108,8.39799976348877,13
1,Fair Catches,The number of fair catches.,FC,16.0,,20
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,47.119,45.66999816894531,15
3,Long Punt,The distance of the longest punt.,LNG,65.0,55.0,26
4,Net Average Punt Yards,The average net number of yards per punt.,NET,41.471,40.80500030517578,24
5,Punt Returns,The number of times a punt was returned.,ATT,37.0,2.0,5
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,337.0,19.0,7
7,Punts,The number of punts taken.,PUNTS,67.0,4.0,17
8,Punts Blocked,The number of times a punt was blocked.,PBLK,1.0,,3
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,1.493,0.028999999165534973,6
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,6.0,,19
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,8.955,,25
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,18.0,1.0,29
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,26.866,26.58799934387207,31
14,Punt Yards,The total amount of yardage of punts.,YDS,3157.0,185.0,16
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,5.97,6.567999839782715,19
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,4.0,,18
0,Defensive Points,The number of points scored on defense.,DP,0.0,4.0,11
1,Field Goals,The number of field goals made.,FG,28.0,1.0,16
2,Kick Extra Points,The number of extra points made.,PAT,24.0,1.0,28
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,17.0,1.0,24
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,17.0,1.0,24
6,Return Touchdowns,The total number of return touchdowns.,RET,5.0,,2
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,15.0,,15
8,Total Points,The number of total points scored.,PTS,340.0,18.0,21
9,Total Points Per Game,The number of points scored per game.,TP/G,20.0,,21
10,Total Touchdowns,The number of touchdowns scored in total.,TD,37.0,2.0,19
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,5.0,,1
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,3.0,,1
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,3.0,,1
