,displayName,description,abbreviation,value,perGameValue,rank
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1.0
8,Kick Returns,The number of kick returns.,ATT,38.0,2.0,5.0
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6.0
10,Kick Return Yards,The total yardage of kick returns.,YDS,996.0,58.0,3.0
11,Long Kick Return,The longest kick return in yards.,LNG,63.0,31.0,10.0
12,Long Punt Return,The longest punt return in yards.,LNG,27.0,9.0,15.0
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,10.0,,10.0
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,54.0,,9.0
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,10.0,,31.0
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,43.478,,28.0
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0
23,Punt Returns,The number of punt returns.,ATT,23.0,1.0,26.0
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4.0
27,Punt Return Yards,The total yardage of punt returns.,YDS,198.0,11.0,25.0
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,26.211,27.027999877929688,2.0
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,8.609,6.705999851226807,17.0
33,Yards Per Return,The average number of yards per return.,YDS/R,19.574,,3.0
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,9.065,7.125,14.0
1,Fair Catches,The number of fair catches.,FC,20.0,1.0,14.0
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,46.03,44.70899963378906,22.0
3,Long Punt,The distance of the longest punt.,LNG,63.0,53.0,28.0
4,Net Average Punt Yards,The average net number of yards per punt.,NET,41.149,40.11199951171875,28.0
5,Punt Returns,The number of times a punt was returned.,ATT,31.0,1.0,13.0
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,281.0,16.0,12.0
7,Punts,The number of punts taken.,PUNTS,66.0,3.0,18.0
8,Punts Blocked,The number of times a punt was blocked.,PBLK,1.0,,3.0
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,1.515,0.01899999938905239,5.0
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,8.0,,13.0
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,12.121,,14.0
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,20.0,1.0,26.0
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,30.303,27.64699935913086,26.0
14,Punt Yards,The total amount of yardage of punts.,YDS,3038.0,178.0,19.0
15,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,4.545,5.881999969482422,24.0
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,3.0,,22.0
0,Defensive Points,The number of points scored on defense.,DP,0.0,,11.0
1,Field Goals,The number of field goals made.,FG,25.0,1.0,23.0
2,Kick Extra Points,The number of extra points made.,PAT,27.0,1.0,25.0
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1.0
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,19.0,1.0,19.0
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,19.0,1.0,19.0
6,Return Touchdowns,The total number of return touchdowns.,RET,0.0,,31.0
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,18.0,1.0,7.0
8,Total Points,The number of total points scored.,PTS,326.0,19.0,23.0
9,Total Points Per Game,The number of points scored per game.,TP/G,19.176,,23.0
10,Total Touchdowns,The number of touchdowns scored in total.,TD,37.0,2.0,19.0
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,1.0,,18.0
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,1.0,,14.0
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,1.0,,14.0
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14.0
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Total 1st downs,The the number of first downs.,CMP,278.0,16.0,30.0
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,109.0,6.0,32.0
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,21.0,1.0,29.0
3,First Downs Per Game,The average number of first downs per game.,FD/G,16.353,16.0,30.0
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,148.0,8.0,5.0
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,25.0,1.0,12.0
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,32.0,19.607999801635742,31.0
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,8.0,,26.0
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,10.0,,10.0
9,Possession Time Seconds,The total time of possession in seconds.,POSS,30103.0,1770.0,24.0
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,67.14,,15.0
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,26.0,,18.0
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,82.0,58.0,17.0
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,56.0,,12.0
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,220.0,12.0,14.0
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,40.909,39.10599899291992,13.0
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,90.0,5.0,12.0
17,Total Giveaways,The total number of giveaways.,TGV,25.0,,4.0
18,Total Penalties,The total number of total penalties.,TPEN,80.0,4.0,30.0
19,Total Penalty Yards,The total number of penalty yards.,TPY,754.0,44.0,19.0
20,Total Takeaways,The total number of takeaways.,TT,23.0,,14.0
21,Total Drives,The total number of drives.,D,0.0,,1.0
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-2.0,,20.0
