teamName ,displayName,description,abbreviation,value,perGameValue,rank
Ravens,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,97,5,16
Ravens,Kickoff Returns,The number of times a kickoff was returned.,KR,32,1,12
Ravens,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,1,,13
Ravens,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,737,43,7
Ravens,Kickoffs,The number of kickoffs taken.,K,90,5,8
Ravens,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5405,136,10
Ravens,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,66,,1
Ravens,Long Field Goal Made,The distance of the longest field goal made.,LNG,66,42,2
Ravens,Long Kickoff,The distance of the longest kickoff.,LK,67,52,16
Ravens,Team Games Played,The numbers of team games played.,GP,17,,1
Ravens,Total Kicking Points,The number of total points earned kicking.,PTS,137,8,3
Ravens,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,52.222,54.42599869,10
Ravens,Touchbacks,The number of kickoffs that result in touchbacks.,TB,47,2,10
Ravens,Defensive Fumbles Returns,The number of fumble returns.,DFR,0,,1
Ravens,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0,,1
Ravens,Fumble Recoveries,The number of fumble recoveries.,FR,6,,26
Ravens,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,0,,29
Ravens,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0,,2
Ravens,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0,,1
Ravens,Kick Return Fumbles,The number of kick return fumbles.,KRF,0,,1
Ravens,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0,,1
Ravens,Kick Returns,The number of kick returns.,ATT,32,1,22
Ravens,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0,,9
Ravens,Kick Return Yards,The total yardage of kick returns.,YDS,737,43,17
Ravens,Long Kick Return,The longest kick return in yards.,LNG,47,19,13
Ravens,Long Punt Return,The longest punt return in yards.,LNG,42,13,9
Ravens,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0,,1
Ravens,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0,,1
Ravens,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,8,,17
Ravens,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,86,,3
Ravens,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0,,1
Ravens,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0,,1
Ravens,Punt Return Fair Catches,The number of punt return fair catches.,FC,24,1,5
Ravens,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,92.308,,7
Ravens,Punt Return Fumbles,The number of punt return fumbles.,PRF,0,,1
Ravens,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0,,1
Ravens,Punt Returns,The number of punt returns.,ATT,26,1,16
Ravens,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0,,1
Ravens,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0,,1
Ravens,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0,,3
