,displayName,description,abbreviation,value,perGameValue,rank
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,188.0,11.0,18
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,27.0,1.0,16
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.412,20.0,11
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,132.0,7.0,7
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,17.0,1.0,25
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,41.176,21.569000244140625,25
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,7.0,,28
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,8.0,,20
9,Possession Time Seconds,The total time of possession in seconds.,POSS,32538.0,1914.0,3
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,65.53,,19
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,26.98,,17
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,80.95,55.0,18
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,53.97,,17
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,211.0,12.0,21
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,45.024,44.612998962402344,6
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,95.0,5.0,6
17,Total Giveaways,The total number of giveaways.,TGV,17.0,,30
18,Total Penalties,The total number of total penalties.,TPEN,94.0,5.0,14
19,Total Penalty Yards,The total number of penalty yards.,TPY,730.0,42.0,21
20,Total Takeaways,The total number of takeaways.,TT,30.0,,2
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,13.0,,1
